model,epoch,type:P,type:R,type:F1,PerpInd:P,PerpInd:R,PerpInd:F1,PerpOrg:P,PerpOrg:R,PerpOrg:F1,Target:P,Target:R,Target:F1,Victim:P,Victim:R,Victim:F1,Weapon:P,Weapon:R,Weapon:F1,mAvg:P,mAvg:R,mAvg:F1
PB-BERT-medium,75,82.17,52.74,64.24,57.53,24.56,34.43,47.69,24.60,32.46,40.91,24.49,30.64,59.18,29.00,38.93,65.12,41.79,50.91,60.85,33.50,43.21
PB-BERT-medium,77,88.89,51.74,65.41,65.22,25.73,36.90,55.93,26.19,35.68,40.00,24.49,30.38,72.55,37.00,49.01,67.57,37.31,48.08,66.19,34.36,45.24
PB-BERT-medium,71,83.33,52.24,64.22,58.46,22.22,32.20,45.76,21.43,29.19,39.56,24.49,30.25,61.67,37.00,46.25,55.81,35.82,43.64,60.14,32.88,42.52
PB-BERT-medium,99,86.55,51.24,64.38,61.29,22.22,32.62,49.06,20.63,29.05,44.58,25.17,32.17,70.37,38.00,49.35,60.00,40.30,48.21,64.66,33.13,43.81
PB-BERT-medium,73,83.20,51.74,63.80,56.72,22.22,31.93,46.67,22.22,30.11,36.47,21.09,26.72,64.15,34.00,44.44,50.00,32.84,39.64,59.22,31.65,41.25
PB-BERT-medium,95,84.25,53.23,65.24,57.58,22.22,32.07,50.91,22.22,30.94,48.84,28.57,36.05,69.81,37.00,48.37,57.78,38.81,46.43,64.35,34.24,44.69
PB-BERT-medium,97,85.83,51.24,64.17,62.30,22.22,32.76,50.00,20.63,29.21,45.88,26.53,33.62,71.70,38.00,49.67,60.00,40.30,48.21,65.14,33.37,44.14
PB-BERT-medium,91,88.24,52.24,65.62,61.02,21.05,31.30,53.85,22.22,31.46,46.99,26.53,33.91,76.47,39.00,51.66,60.87,41.79,49.56,67.07,33.87,45.01
PB-BERT-medium,93,86.89,52.74,65.63,63.08,23.98,34.75,55.77,23.02,32.58,47.62,27.21,34.63,67.27,37.00,47.74,53.06,38.81,44.83,65.34,34.36,45.04
PB-BERT-medium,79,85.04,53.73,65.85,55.26,24.56,34.01,54.10,26.19,35.29,40.45,25.17,31.03,68.97,40.00,50.63,63.04,43.28,51.33,63.02,35.59,45.49
PB-BERT-medium,16,88.24,52.24,65.62,51.09,27.49,35.74,31.58,19.05,23.76,16.67,10.20,12.66,27.27,3.00,5.41,0.00,0.00,0.00,50.00,23.89,32.33
PB-BERT-medium,63,85.38,55.22,67.07,55.29,27.49,36.72,48.57,26.98,34.69,43.14,29.93,35.34,52.17,36.00,42.60,51.22,31.34,38.89,58.95,36.08,44.77
PB-BERT-medium,89,90.00,53.73,67.29,61.90,22.81,33.33,58.49,24.60,34.64,47.83,30.61,37.33,63.83,30.00,40.82,55.56,37.31,44.64,65.95,34.24,45.07
PB-BERT-medium,14,93.67,36.82,52.86,48.33,16.96,25.11,28.57,14.29,19.05,17.65,10.20,12.93,18.75,3.00,5.17,0.00,0.00,0.00,45.72,17.12,24.91
PB-BERT-medium,61,83.82,56.72,67.66,56.10,26.90,36.36,52.17,28.57,36.92,37.61,27.89,32.03,54.39,31.00,39.49,49.09,40.30,44.26,58.07,36.33,44.70
PB-BERT-medium,12,92.86,38.81,54.74,48.21,15.79,23.79,32.39,18.25,23.35,14.77,8.84,11.06,21.88,7.00,10.61,33.33,1.49,2.86,44.61,18.35,26.00
PB-BERT-medium,67,87.29,51.24,64.58,61.29,22.22,32.62,49.21,24.60,32.80,49.30,23.81,32.11,65.00,39.00,48.75,54.35,37.31,44.25,64.52,33.37,43.99
PB-BERT-medium,10,96.20,37.81,54.29,43.86,14.62,21.93,14.29,7.94,10.20,18.18,9.52,12.50,10.00,1.00,1.82,0.00,0.00,0.00,42.57,15.52,22.74
PB-BERT-medium,65,87.18,50.75,64.15,60.26,27.49,37.75,46.15,23.81,31.41,40.74,22.45,28.95,51.39,37.00,43.02,50.00,35.82,41.74,59.22,33.62,42.89
PB-BERT-medium,69,85.47,49.75,62.89,58.93,19.30,29.07,48.15,20.63,28.89,38.96,20.41,26.79,70.21,33.00,44.90,55.00,32.84,41.12,62.40,30.05,40.57
PB-BERT-medium,83,88.79,51.24,64.98,65.57,23.39,34.48,53.85,22.22,31.46,40.70,24.49,30.58,69.39,34.00,45.64,59.52,37.31,45.87,65.27,32.76,43.62
PB-BERT-medium,81,88.89,51.74,65.41,64.06,23.98,34.89,55.93,26.19,35.68,47.67,28.57,35.73,66.67,32.00,43.24,56.52,40.30,47.05,65.95,34.36,45.18
PB-BERT-medium,18,87.29,51.24,64.58,47.06,23.39,31.25,31.03,21.43,25.35,19.20,17.01,18.04,23.08,9.00,12.95,66.67,5.97,10.96,45.00,25.62,32.65
PB-BERT-medium,87,88.89,51.74,65.41,65.57,23.39,34.48,50.00,22.22,30.77,46.24,29.93,36.34,75.93,41.00,53.25,55.32,38.81,45.61,65.89,34.85,45.59
PB-BERT-medium,85,85.16,54.23,66.26,57.58,22.22,32.07,57.41,24.60,34.44,48.91,31.29,38.17,67.27,37.00,47.74,52.08,37.31,43.48,64.33,35.22,45.52
PB-BERT-medium,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
